PetalLength,PetalWidth,SepalLength,SepalWidth,StemThickness,FlowerClass
-1.981799875,-4.882960452,1.529712181,-0.137756448,2.074835134,2
-3.014486019,-1.670645306,-1.811969457,0.642167259,0.382497748,1
0.402591887,-1.541528377,-0.335330179,-0.103459656,2.129740672,1
0.668510799,-2.172818229,1.545165911,-0.205316997,1.800845781,2
-4.026934897,-2.062590363,-2.989492377,-1.719367098,-1.234223498,0
-0.032543598,2.077718619,1.02426814,-0.216895956,-2.991567984,0
-0.297356253,-0.262072001,-1.493608649,-1.142991432,0.056957158,0
-1.051383844,1.150789025,-3.570445034,-3.262380542,-2.441847419,0
-1.97572819,1.362762544,-2.024842702,-1.662362836,-3.338233714,0
-0.22749705,-1.526566295,0.569831373,-1.376793499,-0.018559676,2
-2.157694305,-1.457562302,-1.384482879,-0.338777297,0.004516657,1
-2.103510035,-5.486140206,3.009907971,0.264674467,1.9614148,2
-0.697347372,-1.187034548,-2.257422097,-1.23399017,1.033170631,0
-4.061608293,-3.009907302,-2.713962632,-2.405041009,-0.96660421,1
0.330737344,-1.444528503,-0.163788847,-1.431890695,0.860081607,1
-2.991297626,-4.997734844,0.724381624,-1.648432432,0.576197166,2
-1.581993574,-0.184991374,-0.75978686,-1.006817349,-1.640379712,0
-0.563417894,0.465650575,-1.080517503,-1.432666502,-1.4343511,0
-1.580416653,-0.546690204,1.164685575,0.422892466,-1.393587564,0
-1.111773921,0.119367796,-0.272042173,-0.535603926,-1.446764091,0
-1.190457823,-0.470265584,-4.307205765,-3.773978988,-0.816320868,0
-3.00490554,-6.726324148,1.678832264,-1.324739205,2.007534291,2
1.878708826,-2.047452923,-0.552125959,-1.282701814,3.36077882,1
-0.055589081,-0.301064464,0.615196745,0.650638011,0.361075304,1
-0.155850979,1.443939327,-1.483364693,-2.418111316,-2.535782538,0
-0.934877113,-3.193908303,-1.265249159,-3.305873113,0.722485282,1
-2.190711625,-3.110988907,0.068953903,0.523074237,1.429698845,0
-1.418015304,-0.522885976,-0.958239177,-0.635831359,-0.727575684,0
-0.876125312,0.066194147,-2.770399061,-2.694736748,-1.216344138,0
-0.612176177,1.212827123,1.578427721,0.372086411,-2.567150369,0
-0.530371469,1.32351681,-2.098775005,-2.265411997,-2.281511491,0
-0.09152564,2.415274878,0.662477914,-0.586558995,-3.451170371,0
-2.508605324,-2.891334501,-1.712525631,-2.508310125,-0.264548605,1
0.667553221,2.149386239,-1.120104604,-1.913261612,-2.309606575,0
-0.310230422,-1.773012416,-1.014507839,-1.362047986,1.153528955,1
-1.003273667,-1.046179002,-0.919040138,0.304760301,0.90153672,1
-1.221824347,-2.132019541,-0.908935319,-1.117864232,0.747731219,1
-3.739005405,-9.411718977,1.831279867,-0.325275658,4.729350555,2
-2.539176976,-6.859564873,2.960589603,0.105958257,2.873581003,2
-2.117111946,-4.394895576,0.611615901,-1.966948532,0.640734195,2
-0.975300569,0.317242393,-1.060467359,-1.148011248,-1.48473519,0
0.644299388,-1.570447631,1.530294611,0.151336445,1.426215994,2
-2.44786248,-6.396449877,1.323634743,-0.38310919,3.135675642,2
-2.247892527,-4.780839534,1.578246597,-0.916715138,1.09567396,2
-2.599758762,-7.019841421,2.541505982,0.364412946,3.434442325,2
0.460075253,2.177423621,-0.829772414,-1.88584791,-2.702842136,0
-1.303654305,-3.749987191,-1.699348298,-3.450664533,1.100468865,1
-1.492858058,-0.582359158,-0.102277272,-0.16597141,-0.921374934,0
-1.693367166,-0.808476032,-2.511997313,-1.571787969,-0.432594605,0
-1.218235305,-4.424913102,2.091854149,0.152134274,2.215222531,2
0.357511606,-1.962900534,0.041025883,-0.590200027,1.926027574,1
-1.088288283,-1.554836093,0.621156255,-0.366952358,-0.113115732,1
-0.515539148,-3.360254628,1.735553772,-0.366783529,1.633149189,2
-1.445406351,-2.127243176,-0.933722659,0.622816232,1.837655556,1
-1.935725417,-1.787691417,-0.184238729,-1.717949098,-1.21055827,1
-1.497735601,-1.915093489,-1.04437564,-2.056514132,-0.365109164,1
-2.015030501,-1.441149244,-1.012566465,-0.890545069,-0.515679824,0
-1.50256023,-1.910459855,-1.754247381,-0.983363445,0.868098606,0
-1.312234824,-0.473510565,-0.572310362,-0.806117328,-1.04228985,0
0.24577083,0.015852829,-0.374703827,-2.114245095,-1.119720513,2
0.820137826,-0.567337215,1.261389411,-0.718678766,0.07409793,2
-2.712795117,-1.693094523,-1.429033489,-0.654437559,-0.503810787,1
-1.274559549,-1.298737645,1.004585999,-1.427477313,-1.592535187,1
-1.34810685,0.091638382,-1.042967282,-1.182466277,-1.653042731,0
-1.250335321,2.099266488,-2.853007628,-3.226078543,-4.042889077,0
-1.941590905,-3.395905114,0.376621455,-2.121395125,-0.194470763,2
-1.142988958,-2.435281316,0.86257186,-1.399157704,-0.172090329,2
0.053077813,-0.019613819,-0.153697631,-0.23142627,-0.004516161,0
0.003760282,1.583261519,-0.541858537,-0.818779177,-1.916220384,0
-2.651558472,-3.14592912,0.496698452,1.10928061,1.184534449,2
-1.780025778,1.427052858,-2.027008946,-2.422948966,-3.779108274,0
-3.17662367,-2.55038379,-1.644845015,-2.017945034,-0.951472423,1
-0.494728174,-2.667846846,0.996768802,-0.792425654,1.075875165,2
-3.760385726,-7.41008316,2.033216942,-1.37030822,1.721632785,2
-0.989734781,-0.436328114,-1.678223558,-1.390866634,-0.512175743,0
-1.555909791,-3.05302849,0.09288891,-1.990441851,0.102287692,2
1.482778947,-1.199714323,0.133837842,1.295042873,3.587293716,1
-2.506977665,-0.506474573,-1.323449671,-1.75821153,-2.424822513,0
0.08194786,-1.252681143,-0.201103731,-1.367767716,0.487281674,2
-0.163083716,-3.385920112,1.293933926,-0.345593167,2.296790173,2
-1.420868951,-3.708771346,0.063134813,-1.628341449,1.205492954,2
0.548332722,-1.955288327,-0.423371205,-0.830443455,2.2153363,1
-1.80050229,-5.160781437,1.095090304,-0.114078317,2.829989255,2
-0.654929191,-3.529218357,1.108197804,-0.497718305,1.964640664,2
-2.350734723,-0.94095861,-1.558883106,-1.00015896,-1.107298243,0
-0.363623517,0.660651911,-1.076626908,-1.420275667,-1.433980905,0
-0.06920282,1.480936536,-3.143337092,-3.147854315,-2.000536889,0
1.62470075,-1.342079764,-0.260928097,0.590696696,3.594779615,1
-2.112060459,-4.591980091,0.771278813,-1.591430051,1.031485387,2
-2.636803638,-3.271936205,-1.020908707,-0.483154135,1.086161235,0
-0.181558467,-2.691260645,1.677188571,-0.592081893,1.133898339,2
-1.56137575,-1.751563444,-0.756862057,-1.469354892,-0.338395896,1
-2.233863608,0.165684003,0.854075334,1.039802887,-2.122459274,1
-1.066372997,-2.479230272,0.282686028,-2.049541916,-0.175589276,2
-1.50097609,-1.904856368,-0.688404516,-2.420995896,-0.872525038,2
-2.012873851,-0.09495412,-1.564165668,-1.236604052,-1.828132702,0
-1.157049438,-4.220723919,2.432608281,-0.039687097,1.707783727,2
-1.140050743,-4.16219123,1.11089011,-0.224908391,2.348065607,2
